Corporation,Route No,Service Type,Source,Destination,Departure,Arrival
SALEM,1410BANSALDD01L / 300JV,DELUXE 3X2,SATELLITE BS,SALEM,14:10,19:10
SALEM,1430BANSALDD02A / 100P,AC 3X2,SATELLITE BS,SALEM,14:30,19:30
SALEM,1450BANSALDD02A / 100J,AC 3X2,SATELLITE BS,SALEM,14:50,19:50
SALEM,1530BANSALDD01L / 708A,DELUXE 3X2,SATELLITE BS,SALEM,15:30,20:30
SALEM,1545BANSALDD02A / 100Q,AC 3X2,SATELLITE BS,SALEM,15:45,20:45
SETC,1600BANNAGAB / 887AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,16:00,20:30
SALEM,1605BANSALDD02L / 708AB,DELUXE 3X2,SATELLITE BS,SALEM,16:05,21:05
SALEM,1630BANSALDD01A / 100R,AC 3X2,SATELLITE BS,SALEM,16:30,21:30
SETC,1700BANTIC / 871UD,ULTRA DELUXE,SHANTHI NAGAR BS,TIRUCHENDUR,17:00,22:00
SALEM,1700BANSALDD02L / 100JK,DELUXE 3X2,SATELLITE BS,SALEM,17:00,22:00
SALEM,1850BANSALDD01L / 100L,DELUXE 3X2,SATELLITE BS,SALEM,18:50,23:50
SALEM,1930BANSALDD01A / 100LM,AC 3X2,SATELLITE BS,SALEM,19:30,00:30
SALEM,1955BANSALDD01L / 100MN,DELUXE 3X2,SATELLITE BS,SALEM,19:55,00:55
SETC,2015BANKUMAB / 844TAB,AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMBAKONAM,20:15,01:30
SALEM,2020BANSALDD02A / 100M,AC 3X2,SATELLITE BS,SALEM,20:20,01:20
SALEM,2055BANSALDD02L / 100KL,DELUXE 3X2,SATELLITE BS,SALEM,20:55,01:55
SALEM,2115BANSALDD02A / 100P,AC 3X2,SATELLITE BS,SALEM,21:15,02:15
SALEM,2150BANSALDD01L / 100R,DELUXE 3X2,SATELLITE BS,SALEM,21:50,02:50
SALEM,2230BANSALDD01L / 100NO,DELUXE 3X2,SATELLITE BS,SALEM,22:30,03:30
SALEM,2330BANSALDD01L / 100Y,DELUXE 3X2,SATELLITE BS,SALEM,23:30,04:30
SALEM,2345BANSALDD02L / 360A,DELUXE 3X2,SATELLITE BS,SALEM,23:45,04:45
SALEM,2359BANSALDD01L / 100Y,DELUXE 3X2,SATELLITE BS,SALEM,23:59,04:59
SETC,1630BANSHENS / 881NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,SHENCOTTAH,16:30,06:45
SETC,1730BANSHE / 881UD,ULTRA DELUXE,SHANTHI NAGAR BS,SHENCOTTAH,17:30,07:45
VILLUPURAM,0600BANTAMVV01A / 444TK,AC 3X2,SATELLITE BS,CHENNAI TAMBARAM,06:00,14:30
VILLUPURAM,1230BANTAMVV01L / 444TF,DELUXE 3X2,SATELLITE BS,CHENNAI TAMBARAM,12:30,21:00
VILLUPURAM,2015BANTAMVV01L / 444TA,DELUXE 3X2,SATELLITE BS,CHENNAI TAMBARAM,20:15,04:45
VILLUPURAM,2055BANTAMVV01L / 444TD,DELUXE 3X2,SATELLITE BS,CHENNAI TAMBARAM,20:55,05:25
SETC,2100BANKCB / 831KUD,ULTRA DELUXE,SHANTHI NAGAR BS,CHENNAI-KILAMBAKKAM-KCBT,21:00,04:15
VILLUPURAM,2300BANTAMVV01L / 444TL,DELUXE 3X2,SATELLITE BS,CHENNAI TAMBARAM,23:00,07:30
SETC,1645BANVEANS / 864TNS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,16:45,02:30
SETC,1930BANVEANS / 864NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,19:30,05:30
SETC,2015BANKUMAB / 844TAB,AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMBAKONAM,20:15,06:15
SETC,2030BANVEANS / 864NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,20:30,06:30
SETC,1900BANKUINS / 875CNS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMILI,19:00,05:15
SETC,2015BANBOD / 875BUD,ULTRA DELUXE,SHANTHI NAGAR BS,BODI,20:15,06:15
SETC,1615BANTICAB / 871AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUCHENDUR,16:15,06:15
SETC,1700BANTIC / 871UD,ULTRA DELUXE,SHANTHI NAGAR BS,TIRUCHENDUR,17:00,07:00
SETC,1300BANTIUAB / 870AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUNELVELI,13:00,01:00
SETC,1431BANTRV / 687UD,ULTRA DELUXE,SHANTHI NAGAR BS,TRIVANDRUM,14:31,02:01
SETC,1500BANMARNS / 892NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MARTHANDAM,15:00,02:30
SETC,1530BANPNM / 874PUD,ULTRA DELUXE,SHANTHI NAGAR BS,PAPANASAM-TNV,15:30,03:45
SETC,1600BANNAGAB / 887AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,16:00,03:30
SETC,1645BANTIU / 873UD,ULTRA DELUXE,SHANTHI NAGAR BS,TIRUNELVELI,16:45,04:45
SETC,1730BANNAGNS / 887NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,17:30,04:15
SETC,1800BANTIUNS / 870NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUNELVELI,18:00,06:00
SETC,1815BANKAKNS / 888NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KANYAKUMARI,18:15,06:30
SETC,1840BANTIULB / 870LB,NON AC LOWER BERTH SEATER,SHANTHI NAGAR BS,TIRUNELVELI,18:40,06:40
SETC,1915BANMAR / 892UD,ULTRA DELUXE,SHANTHI NAGAR BS,MARTHANDAM,19:15,06:10
SETC,2000BANTIUNS / 870NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUNELVELI,20:00,08:00
SETC,2015BANNAG / 887UD,ULTRA DELUXE,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,20:15,07:15
SETC,2030BANTIUAL / 870AL,AC LOWER BERTH SEATER,SHANTHI NAGAR BS,TIRUNELVELI,20:30,08:30
SETC,0630BANTRINS / 827NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,06:30,15:15
SETC,0730BANTRIAB / 827AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,07:30,14:30
SETC,0830BANTRINS / 827NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,08:30,17:15
SETC,0915BANTRINS / 827NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,09:15,18:00
SETC,1000BANTRINS / 827NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,10:00,18:45
SETC,1100BANTRIAB / 827AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,11:00,19:45
SETC,2015BANKUMAB / 844TAB,AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMBAKONAM,20:15,04:45
SETC,2130BANTRINS / 827NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,21:30,06:15
SETC,2200BANTRIAB / 827AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,22:00,06:45
SETC,2230BANTRIAB / 827AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,22:30,07:15
SETC,2330BANTRIAB / 827AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TRICHY,23:30,08:15
SETC,1431BANTRV / 687UD,ULTRA DELUXE,SHANTHI NAGAR BS,TRIVANDRUM,14:31,05:31
SETC,1645BANVEANS / 864TNS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,16:45,04:45
SETC,1930BANVEANS / 864NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,19:30,07:30
SETC,2030BANVEANS / 864NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,VELANKANNI,20:30,08:30
SETC,1900BODBAN / 875UD,ULTRA DELUXE,BODI,BENGALURU,19:00,05:15
SETC,1730BODKCBNS / 163NS,NON AC SLEEPER SEATER,BODI,CHENNAI-KILAMBAKKAM-KCBT,17:30,03:00
SETC,1830BODKCB / 163UD,ULTRA DELUXE,BODI,CHENNAI-KILAMBAKKAM-KCBT,18:30,04:00
SETC,1630MNNKCBLB / 757LB,NON AC LOWER BERTH SEATER,MUNNAR,CHENNAI-KILAMBAKKAM-KCBT,18:30,06:30
SETC,1745MNNKCBAB / 757AB,AC SLEEPER SEATER,MUNNAR,CHENNAI-KILAMBAKKAM-KCBT,19:45,07:45
SETC,1900KCBALA / 290UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,ALANKULAM,19:00,07:45
SETC,2045KCBARNLB / 131LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,ARANTHANGI,20:45,06:15
SETC,2115KCBEMB / 145EUD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,EMBAL,21:15,04:30
SETC,1730TIITICNS / H191NS,NON AC SLEEPER SEATER,CHENNAI TIRUVOTRIYUR,TIRUCHENDUR,18:45,05:00
SETC,1945KCBVIANS / 171NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,VILATHIKULAM,19:45,07:30
SETC,2000KCBARU / 170XUD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,ARUPPUKOTTAI,20:00,07:30
SETC,2115KCBEMB / 145EUD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,EMBAL,21:15,04:45
SETC,1715KCBMNNLB / 757LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,MUNNAR,17:15,04:30
SETC,1745KCBMNNAB / 757AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,MUNNAR,17:45,05:00
SETC,1931KCBBOD / 163UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,BODI,19:31,07:01
SETC,2100KCBBODNS / 163NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,BODI,21:00,08:30
VILLUPURAM,1315KCBCHDVV01L / 157C,DELUXE 3X2,CHENNAI KALAIGNAR CBT,CHIDAMBARAM,13:15,18:45
VILLUPURAM,1530KCBCHDVV01L / 399C,DELUXE 3X2,CHENNAI KALAIGNAR CBT,CHIDAMBARAM,15:30,21:00
VILLUPURAM,2015KCBCHDVV01L / 157J,DELUXE 3X2,CHENNAI KALAIGNAR CBT,CHIDAMBARAM,20:15,01:45
VILLUPURAM,2215KCBCHDVV01L / 157M,DELUXE 3X2,CHENNAI KALAIGNAR CBT,CHIDAMBARAM,22:15,03:45
SETC,0700KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,07:00,16:00
SETC,0900KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,09:00,20:00
SETC,1500KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,15:00,00:00
SETC,1600KCBEKMNS / 791NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,ERNAKULAM,16:00,02:30
SETC,1645KCBGURLB / 785LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,GURUVAYUR,16:45,05:00
SETC,1800KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,18:00,03:00
SETC,1900KCBCOI / 460UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,COIMBATORE,19:00,06:00
SETC,1945KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,19:45,04:45
SETC,2000KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,20:00,07:00
SETC,2030KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,20:30,07:30
SETC,2100KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:00,08:00
SETC,2115KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:15,08:15
SETC,2130KCBCOIAS / 460AS,AC SLEEPER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:30,08:30
SETC,2200KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:00,09:00
SETC,2215KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:15,09:15
SETC,2245KCBCOILB / 460LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:45,09:45
SETC,2315KCBCOIAL / 460AL,AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,23:15,10:15
SETC,0700KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,07:00,16:00
